longitude_e,latitude_n,raw_elevation_m,reference_plane_m,corrected_residual_m
76.1132812,18.9335938,-946.000,-865.753,-80.247
76.1210938,18.9335938,-957.000,-870.227,-86.773
76.1289062,18.9335938,-957.000,-874.701,-82.299
76.1367188,18.9335938,-958.000,-879.174,-78.826
76.1445312,18.9335938,-964.000,-883.648,-80.352
76.1523438,18.9335938,-968.000,-888.122,-79.878
76.1601562,18.9335938,-975.000,-892.596,-82.404
76.1679688,18.9335938,-982.000,-897.069,-84.931
76.1757812,18.9335938,-985.000,-901.543,-83.457
76.1835938,18.9335938,-980.000,-906.017,-73.983
76.1914062,18.9335938,-981.000,-910.491,-70.509
76.1992188,18.9335938,-982.000,-914.964,-67.036
76.2070312,18.9335938,-984.000,-919.438,-64.562
76.2148438,18.9335938,-989.000,-923.912,-65.088
76.2226562,18.9335938,-1006.000,-928.386,-77.614
76.2304688,18.9335938,-1010.000,-932.859,-77.141
76.2382812,18.9335938,-1017.000,-937.333,-79.667
76.2460938,18.9335938,-1022.000,-941.807,-80.193
76.2539062,18.9335938,-1021.000,-946.281,-74.719
76.2617188,18.9335938,-1013.000,-950.755,-62.245
76.2695312,18.9335938,-1004.000,-955.228,-48.772
76.2773438,18.9335938,-994.000,-959.702,-34.298
76.2851562,18.9335938,-985.000,-964.176,-20.824
76.2929688,18.9335938,-981.000,-968.650,-12.350
76.3007812,18.9335938,-993.000,-973.123,-19.877
76.3085938,18.9335938,-1017.000,-977.597,-39.403
76.3164062,18.9335938,-1006.000,-982.071,-23.929
76.3242188,18.9335938,-993.000,-986.545,-6.455
76.3320312,18.9335938,-986.000,-991.018,5.018
76.3398438,18.9335938,-930.000,-995.492,65.492
76.3476562,18.9335938,-894.000,-999.966,105.966
76.3554688,18.9335938,-900.000,-1004.440,104.440
76.3632812,18.9335938,-936.000,-1008.913,72.913
76.3710938,18.9335938,-982.000,-1013.387,31.387
76.3789062,18.9335938,-977.000,-1017.861,40.861
