distance_from_start_km,distance_from_user_rim_km,longitude_e_deg,latitude_n_deg,mola_raw_m,mola_corrected_residual_m,ctx_raw_m,ctx_tilt_corrected_m
22.200000,18.054698,76.268751,18.173534,-1656.921548,-505.546757,-1626.273628,-1332.326081
22.300000,18.154698,76.270461,18.173990,-1662.664112,-510.428302,-1627.143165,-1332.334587
22.400000,18.254698,76.272170,18.174445,-1666.667759,-513.570871,-1627.144931,-1331.475223
22.500000,18.354698,76.273880,18.174901,-1670.543714,-516.585747,-1624.653012,-1328.122165
22.600000,18.454698,76.275589,18.175357,-1674.291977,-519.472930,-1628.036313,-1330.644332
22.700000,18.554698,76.277299,18.175813,-1677.842687,-522.162562,-1635.628879,-1337.375867
22.800000,18.654698,76.279009,18.176269,-1677.919991,-521.378759,-1639.781872,-1340.667729
22.900000,18.754698,76.280718,18.176725,-1678.055992,-520.653653,-1643.070682,-1343.095413
23.000000,18.854698,76.282428,18.177181,-1678.319686,-520.056240,-1646.612592,-1345.776229
23.100000,18.954698,76.284137,18.177637,-1678.711072,-519.586519,-1646.937477,-1345.240039
23.200000,19.054698,76.285847,18.178093,-1679.495371,-519.509721,-1648.392600,-1345.834044
23.300000,19.154698,76.287556,18.178548,-1680.798577,-519.951845,-1651.054056,-1347.634382
23.400000,19.254698,76.289266,18.179004,-1682.229471,-520.521658,-1653.060643,-1348.779900
23.500000,19.354698,76.290976,18.179460,-1683.788055,-521.219159,-1656.786112,-1351.644266
23.600000,19.454698,76.292685,18.179916,-1685.474328,-522.044350,-1659.082513,-1353.079543
23.700000,19.554698,76.294395,18.180372,-1684.324576,-520.033571,-1658.863934,-1351.999835
23.800000,19.654698,76.296104,18.180828,-1682.783393,-517.631347,-1659.939133,-1352.213996
23.900000,19.754698,76.297814,18.181284,-1681.446517,-515.433406,-1658.308480,-1349.722211
24.000000,19.854698,76.299524,18.181740,-1680.313949,-513.439746,-1659.245696,-1349.798291
24.100000,19.954698,76.301233,18.182195,-1679.459967,-511.724691,-1664.393281,-1354.084757
24.200000,20.054698,76.302943,18.182651,-1679.081596,-510.485376,-1665.410903,-1354.241279
24.300000,20.154698,76.304652,18.183107,-1679.009679,-509.552540,-1665.118785,-1353.088080
24.400000,20.254698,76.306362,18.183563,-1679.244216,-508.926184,-1671.369032,-1358.477215
24.495824,20.350522,76.308000,18.184000,-1679.320790,-508.177794,-1674.020814,-1360.303850
