distance_from_rim_km,longitude_e_deg,latitude_n_deg,mola_raw_m,corrected_min_m,corrected_median_m,corrected_max_m,ctx_raw_m
-2.245302,76.001246,18.11355,-1401.044973,-331.4473274473139,-269.1030750550367,-265.63700780074964,nan
-2.145302,76.002996,18.113263,-1383.931679,-312.71449943837683,-250.21536511202976,-246.9113853461679,nan
-2.045302,76.004745,18.112976,-1369.2251,-296.3892573894368,-233.73532107888332,-230.59333535744486,nan
-1.945302,76.006495,18.112689,-1357.764852,-283.30947538049986,-220.50065713587605,-217.520758902863,nan
-1.845302,76.008245,18.112402,-1345.942771,-269.86786037156276,-206.90416019286886,-204.086349448281,nan
-1.745302,76.009995,18.112116,-1333.758855,-256.06474260656523,-192.946212652937,-190.29049441251004,nan
-1.645302,76.011744,18.111829,-1321.186434,-241.87365855763733,-178.60032661980404,-176.10660242379868,nan
-1.545302,76.013494,18.111542,-1306.768347,-225.83603754870023,-162.40782367679685,-160.0761869692169,nan
-1.445302,76.015244,18.111255,-1292.596971,-210.04512753976337,-146.46203173378967,-144.29248251463514,nan
-1.345302,76.016994,18.110968,-1278.672307,-194.5009295308264,-130.7629517907826,-128.75549006005372,nan
-1.245302,76.018744,18.110681,-1264.994353,-179.20344152188954,-115.31058184777544,-113.46520760547196,nan
-1.145302,76.020493,18.110395,-1252.604856,-165.1956137168886,-101.14800421770428,-99.4646290355588,nan
-1.045302,76.022243,18.110108,-1241.12368,-152.09490370795174,-87.89241227469688,-86.37112458097727,nan
-0.945302,76.023993,18.109821,-1229.642504,-138.99419369901466,-74.63682033168993,-73.2776201263955,nan
-0.845302,76.025743,18.109534,-1218.161327,-125.89348269007769,-61.381227388682646,-60.18411467181386,nan
-0.745302,76.027492,18.109247,-1207.884392,-113.99788464114977,-49.3308273555499,-48.295708683102475,nan
-0.645302,76.02924,18.108949,-1210.413172,-114.90521786887803,-50.082864798442415,-49.209591553325254,nan
-0.545302,76.030972,18.108577,-1212.392057,-115.25200540511128,-50.27177597162131,-49.55848188536561,nan
-0.445302,76.032704,18.108206,-1214.097065,-115.3252481852951,-50.187194547886975,-49.63388463622732,nan
-0.345302,76.034436,18.107835,-1215.528196,-115.12461396546769,-49.82873612414119,-49.435410387078264,nan
-0.245302,76.036168,18.107464,-1213.071663,-111.03631574563906,-45.582613700393495,-45.34927213792798,nan
-0.145302,76.0379,18.107093,-1208.22091,-104.55379752582303,-38.94227127665954,-38.86891388878985,nan
-0.045302,76.039633,18.106722,-1203.665094,-98.36534534599855,-32.682635173782046,-32.595914943052776,nan
0.054698,76.041365,18.10635,-1199.404216,-92.47236988223085,-26.791762505821225,-26.545063116230267,nan
0.154698,76.043097,18.105979,-1195.332145,-86.76853366240334,-21.090086256672294,-20.68340269248415,nan
0.254698,76.044829,18.105608,-1190.13447,-79.93909344258714,-14.262806007533982,-13.696138268750246,nan
0.354698,76.046561,18.105237,-1185.031816,-73.20467422275851,-7.53054675838348,-6.803894845002333,nan
0.454698,76.048293,18.104866,-1179.848458,-66.38955100293106,-0.7175835092343732,0.16905257874350355,nan
0.554698,76.050025,18.104495,-1174.559765,-59.4690927831025,6.200714739916066,7.2473350024909,nan
0.654698,76.051757,18.104123,-1169.226198,-52.50342831934836,13.164276407863326,14.370875829298711,nan
0.754698,76.05349,18.103752,-1163.784704,-45.42929813952264,20.236233122872363,21.602910162906937,nan
0.854698,76.055222,18.103381,-1158.174679,-38.1875079196941,27.475863372022786,29.002524586654545,nan
0.954698,76.056954,18.10301,-1152.396122,-30.777185699866777,34.88402562117176,36.57067101040025,nan
1.054698,76.057618,18.104534,-1157.173697,-35.4827830234326,30.082333685869344,31.838669873715844,nan
1.154698,76.058252,18.106109,-1161.378977,-39.65915858786684,25.807352415420837,27.630831884317786,nan
1.254698,76.058887,18.107685,-1164.378582,-42.62932043623118,22.7385141920322,24.629235401718915,nan
1.354698,76.059522,18.10926,-1167.702622,-45.92358504065646,19.34563038745432,21.303588322195083,nan
1.454698,76.060156,18.110836,-1170.928362,-49.12075284901766,16.049799698207153,18.074905929735223,nan
1.554698,76.060791,18.112412,-1174.055802,-52.21874969739429,12.853126474806686,14.945474447122933,nan
1.654698,76.061425,18.113987,-1175.721177,-53.85522026181752,11.118050204369183,13.277541457737016,nan
1.754698,76.06206,18.115563,-1175.537959,-53.642559110181764,11.232034980980416,13.458767975137789,nan
1.854698,76.062695,18.117139,-1175.158144,-53.233300958546124,11.542616757592214,13.836591492539128,nan
1.954698,76.063329,18.118714,-1174.581735,-52.62798752298045,12.04932448714385,14.410442503140985,nan
2.054698,76.063964,18.12029,-1173.80873,-51.82553937134503,12.75309626375497,15.181456020541873,nan
2.154698,76.064599,18.121866,-1173.226112,-51.21347821970926,13.26648104036667,15.762082537942888,nan
