distance_from_outlet_along_rim_km,longitude_e_deg,latitude_n_deg,mola_raw_m,corrected_min_m,corrected_median_m,corrected_max_m
23.287621255294525,75.95942179985752,18.438399290135347,-594.3930948455712,330.84813766413095,372.9046927232042,378.6496225261459
23.537621255294525,75.95628179773776,18.441382292149118,-557.8920036156919,363.62332831157266,405.2732498210761,411.2966320410933
23.787621255294525,75.95314179561801,18.44436529416289,-605.0469006538102,312.7425306910168,353.98581865095036,360.2876532880431
24.037621255294525,75.95000179349825,18.447348296176656,-630.8986391746101,283.16489158777927,324.001545998143,330.58183305231125
24.287621255294525,75.9468617913785,18.450331298190427,-621.3888681161459,288.94876206380593,329.3787829245998,336.23752239584337
24.537621255294525,75.94372178925873,18.453314300204198,-588.8452468430685,317.76648275444575,357.7898700656697,364.92706195398887
24.787621255294525,75.93997330890308,18.45551334554846,-543.2832066238154,359.33312703930915,398.9421235510504,406.4185586175897
25.037621255294525,75.93604320969081,18.457478395154595,-484.1158024410927,414.4246961941884,453.6169865190153,461.4508096174113
25.287621255294525,75.93211311047854,18.45944344476073,-453.11611158647975,441.34855202095775,480.12413615887044,488.315347289123
25.537621255294525,75.92818301126627,18.461408494366864,-438.3753644188331,452.0134641607609,490.3723421117593,498.9209412738686
25.787621255294525,75.92450197901863,18.463647427275777,-420.2553892829269,466.1835355647838,504.13133468246815,513.0126743361436
26.037621255294525,75.92188211093341,18.467053255786563,-436.95625901931993,446.06929964334864,483.6299955921707,492.73906347098415
26.287621255294525,75.91926224284819,18.47045908429735,-454.3676099329433,425.2445825446831,462.4181753246429,471.75497142859433
26.537621255294525,75.91664237476297,18.473864912808136,-453.921662505849,422.2771637867354,459.0636533978328,468.62817772692233
26.787621255294525,75.91334279116417,18.476,-449.9925382696574,422.62311291596916,459.0344369642255,468.89657855900566
27.037621255294525,75.90890115617727,18.476,-430.6968210415575,438.05034373980214,474.10655967462736,484.3837454205814
27.287621255294525,75.90445952119036,18.476,-404.86480091315167,460.0138774639409,495.7149852853351,506.40721518246306
27.537621255294525,75.90004772938696,18.476325378435508,-400.7271619221479,460.20091725667925,495.5323314651236,506.6351848347396
27.787621255294525,75.89567296872794,18.47705450521201,-415.3723920662801,441.50319762060064,476.4468196865346,487.95481109539924
28.037621255294525,75.8912982080689,18.477783631988515,-437.8116197518244,415.01148044311003,449.56731036653343,461.48043981464673
28.287621255294525,75.88692344740988,18.47851275876502,-456.53630913073954,392.2343015722485,426.4023393531614,438.72060684052354
28.537621255294525,75.88254868675085,18.479241885541523,-449.80710280914474,394.9110184018969,428.6912640402995,441.4146695669103
28.787621255294525,75.87817392609183,18.47997101231803,-433.0907750519091,407.57485666718617,440.9673101630783,454.09585372893775
29.037621255294525,75.87426202225761,18.4819502492569,-405.8186120567659,430.78231842561763,463.75878045358263,477.2429406424375
29.287621255294525,75.87036928196751,18.483981244190865,-393.1454698571714,439.39025378871827,471.9495568192134,485.7872833083828
